regiao;estado;idade;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
N;TO;55-59;43836;47900;49585;51255;52950;54738;56659;58684;60825;63057;65362;67721;70154
N;TO;60-64;33427;37392;38880;40446;42067;43708;45339;46974;48593;50239;51972;53833;55792
N;TO;65-69;25172;28673;29643;30734;31930;33204;34547;35958;37439;38975;40532;42077;43629
N;TO;70-74;18805;22170;22728;23234;23755;24378;25158;26063;27075;28178;29350;30583;31880
N;TO;75-79;12174;14778;15431;16141;16856;17510;18073;18577;19046;19524;20094;20791;21589
N;TO;80-84;7126;8918;9268;9628;10017;10452;10935;11460;12033;12611;13138;13598;14020
N;TO;85-89;3345;4349;4551;4756;4967;5191;5426;5678;5934;6218;6531;6872;7236
N;TO;90;1455;2810;2715;2694;2721;2770;2833;2917;3034;3169;3319;3478;3656
NE;MA;0-4;753035;676810;657305;637117;615848;603329;597566;589382;586058;588944;589381;587403;586846
NE;MA;5-9;747330;696858;700966;706892;700896;685541;665960;646718;626801;605783;593482;587909;579928
NE;MA;10-14;689356;734880;724435;706042;695649;689135;684843;689134;695238;689448;674316;654966;635950
NE;MA;15-19;658511;691523;694700;701164;708674;713625;713869;703783;685785;675780;669646;665719;670322
NE;MA;20-24;655626;665689;661222;655729;650548;647756;648513;652337;659423;667534;673106;674011;664661
NE;MA;25-29;619802;603261;610230;615201;617988;618381;616321;612698;608053;603716;601734;603246;607787
NE;MA;30-34;484287;507358;523010;537487;550503;561786;571148;578521;583935;587200;588105;586595;583542
NE;MA;35-39;383439;408851;421740;437156;454223;471522;488079;503771;518311;531431;542850;552389;559971
NE;MA;40-44;334225;360370;366356;371493;376896;384250;394542;407386;422710;439652;456840;473307;488936
NE;MA;45-49;290380;309468;316861;324562;332273;339534;346160;352183;357389;362873;370253;380504;393242
NE;MA;50-54;240481;260467;266525;273049;279940;287022;294177;301495;309117;316754;323964;330568;336599
NE;MA;55-59;194593;219023;223794;228309;232811;237678;243143;249103;255508;262263;269209;276235;283425
NE;MA;60-64;148884;174685;179486;184734;190177;195460;200374;205024;209453;213872;218641;223963;229756
NE;MA;65-69;117900;138963;141393;144120;147230;150824;154940;159503;164478;169641;174664;179357;183817
NE;MA;70-74;90039;107817;109738;111369;112913;114624;116667;118996;121591;124524;127882;131701;135913
NE;MA;75-79;59184;72184;74698;77328;79913;82249;84255;86010;87550;89031;90656;92546;94677
NE;MA;80-84;34338;42270;43630;45163;46835;48638;50544;52550;54660;56753;58663;60327;61813
NE;MA;85-89;19245;23637;23503;23803;24393;25162;26036;27011;28107;29305;30592;31965;33405
NE;MA;90;12372;16850;17621;18112;18469;18786;19107;19494;19981;20551;21197;21887;22672
NE;PI;0-4;296465;263862;256807;251410;245917;242341;241157;238913;237147;237950;238506;237485;236713
NE;PI;5-9;321520;294406;286347;278975;273624;267440;259182;252216;246907;241507;238009;236899;234733
NE;PI;10-14;293721;314225;314704;311727;304934;297480;291921;283924;276611;271304;265172;256971;250057
NE;PI;15-19;291945;306069;305510;306339;307784;308585;307954;308521;305647;298973;291641;286198;278333
NE;PI;20-24;311161;305642;301937;297317;292559;288934;287179;286905;288006;289713;290786;290434;291277
NE;PI;25-29;302401;279200;280195;281424;282328;281994;279904;276626;272445;268125;264919;263560;263658
NE;PI;30-34;245924;250528;255062;257995;259731;261005;262238;263461;264911;266051;265970;264157;261171
NE;PI;35-39;196884;209452;214669;221349;228768;235760;241599;246178;249185;251014;252388;253728;255056
NE;PI;40-44;181361;192405;194229;195499;196828;199141;202974;208177;214815;222177;229124;234938;239520
NE;PI;45-49;162163;171751;175241;178521;181522;184151;186393;188236;189540;190907;193239;197055;202211
NE;PI;50-54;135369;145650;149482;153555;157712;161708;165398;168833;172067;175035;177639;179878;181725
NE;PI;55-59;111274;122962;125821;128669;131599;134759;138226;141936;145884;149909;153786;157366;160714
NE;PI;60-64;87855;100535;103277;105976;108650;111334;114055;116800;119531;122339;125369;128689;132233
NE;PI;65-69;67727;78285;80129;82463;85122;87843;90461;93039;95588;98119;100658;103233;105830
NE;PI;70-74;52099;63314;64143;64553;64858;65508;66747;68440;70557;72959;75417;77791;80135
NE;PI;75-79;33032;42377;43477;45045;46774;48255;49308;50047;50471;50826;51466;52578;54058
NE;PI;80-84;21018;28603;28337;28102;28027;28263;28854;29745;30963;32287;33422;34243;34853
NE;PI;85-89;9844;14960;15626;15905;15974;15942;15877;15828;15797;15867;16122;16581;17210
NE;PI;90;4155;8417;7887;7811;7935;8113;8264;8403;8554;8692;8814;8913;9017
NE;CE;0-4;766911;683955;672445;662736;653336;646686;646932;648079;649217;654117;658031;656863;654978
NE;CE;5-9;831950;731602;717272;705178;696488;689901;679900;668505;658901;649600;643033;643343;644554
NE;CE;10-14;838145;858837;838747;812357;781967;751766;729256;714991;702959;694324;687783;677834;666495
NE;CE;15-19;834127;858363;859188;861902;863741;860294;849093;829224;803090;772985;743073;720818;706774
NE;CE;20-24;823489;834034;836142;835535;833399;831756;831684;832912;836017;838245;835224;824514;805193
NE;CE;25-29;768852;753001;765616;778048;789357;798131;803507;806070;805944;804296;803135;803522;805194
NE;CE;30-34;646566;666895;681292;694782;707631;720395;733327;746110;758722;770228;779221;784859;787711
NE;CE;35-39;564632;584272;594812;608175;623461;639115;654129;668540;682056;694946;707765;720751;733590
NE;CE;40-44;521800;548510;553499;556916;560104;565024;572883;583432;596758;611973;627560;642514;656883
NE;CE;45-49;455161;485761;499720;511222;520504;528113;534512;539599;543146;546478;551502;559412;569955
NE;CE;50-54;352319;379309;395593;414634;434839;453781;469954;483695;495079;504322;511947;518399;523564
NE;CE;55-59;296292;317375;324257;331527;339933;350542;363864;379692;398168;417762;436154;451900;465329
NE;CE;60-64;242817;271565;278121;283458;288182;293242;299273;305989;313073;321239;331495;344330;359539
NE;CE;65-69;184373;207874;214312;222967;232705;241794;249259;255523;260691;265311;270254;276083;282547
NE;CE;70-74;149870;173206;176096;176992;177261;178879;182909;188889;196822;205706;214007;220871;226691
NE;CE;75-79;96692;113546;117980;124462;131656;137745;141873;144458;145451;145979;147663;151362;156678
NE;CE;80-84;69967;84020;82536;81013;80134;80674;82887;86528;91659;97272;102023;105292;107429
