regiao,ano,mes,avg_temp_ar,p50_temp_ar,p1_temp_ar,p5_temp_ar,p99_temp_ar
NE,2011,11,25.78047712464093,25.4,17.7,19.8,35.1
NE,2011,12,26.627804445999583,26.2,18.5,20.6,36
NE,2012,1,26.288248436103665,25.9,18.7,20.6,35.4
NE,2012,2,25.790874178141294,25.4,18.4,20.4,34.6
NE,2012,3,26.203989035402827,25.8,18.7,20.6,35.1
NE,2012,4,26.392282969039726,26,18.1,20.3,35.6
NE,2012,5,25.762660874814063,25.3,17.5,19.7,35.1
NE,2012,6,25.132613633756282,24.7,16.7,18.9,34.7
NE,2012,7,24.51143393303294,24.2,15.1,17.7,35
NE,2012,8,24.52122638884251,24.2,14.9,17.4,35.5
NE,2012,9,25.95981975345588,25.5,16.1,18.5,37.1
NE,2012,10,26.79556652379097,26.2,17.5,19.6,37.9
NE,2012,11,26.83601485008858,26.2,19,21,36.8
NE,2012,12,27.18867732671829,26.7,19,21,36.2
NE,2013,1,26.816625641261588,26.4,19.6,21.5,35.4
NE,2013,2,27.126173292043227,26.8,19.3,21.3,36.2
NE,2013,3,27.377946069088406,26.9,20,21.8,36.6
NE,2013,4,26.296086083081256,25.8,18.9,21,35.1
NE,2013,5,25.5701650579576,25.2,17.8,20.1,33.7
NE,2013,6,24.963643962032997,24.5,17,19.2,33.8
NE,2013,7,24.470600515780426,24,15.9,18.2,34.3
NE,2013,8,25.0105201566157,24.6,15.6,18.1,35.7
NE,2013,9,26.16797350638924,25.7,16.9,18.9,37.3
NE,2013,10,26.67097612629958,26.2,17.8,19.8,37.2
NE,2013,11,26.463575842977132,26,18.5,20.4,36
NE,2013,12,26.41842536963654,25.9,19.3,21.1,35.8
NE,2014,1,26.29165526530699,26,18.6,20.6,34.9
NE,2014,2,25.975759921863833,25.6,18.9,20.9,34.3
NE,2014,3,26.07846574020248,25.6,19.4,21.2,34.1
NE,2014,4,25.85822838286843,25.3,18.7,20.7,33.5
NE,2014,5,25.07090245629323,24.6,17.2,19.6,33.2
NE,2014,6,24.75463471933946,24.4,16.2,18.5,33.9
NE,2014,7,24.455897792607246,24,15.8,18.2,34.3
NE,2014,8,24.72166572395172,24.4,15.3,17.6,35.6
NE,2014,9,25.892702580863293,25.4,16.4,18.7,36.9
NE,2014,10,26.41817867692136,26,17.2,19.4,37
NE,2014,11,26.461451829512523,25.9,18.385,20.3,36.4
NE,2014,12,26.35310551461657,26,18.8,20.6,35.5
NE,2015,1,26.73018883492857,26.3,18.9,20.7,35.8
NE,2015,2,26.43337611976598,26.1,19.1,21,35.2
NE,2015,3,26.36378010273811,25.9,19.5,21.2,34.6
NE,2015,4,26.429012878759433,25.9,19.5,21.2,34.8
NE,2015,5,25.76960939132858,25.3,17.8,20.2,34.6
NE,2015,6,24.87044685860433,24.4,16.5,19,34.1
NE,2015,7,24.704555806009342,24.3,16.2,18.4,34.5
NE,2015,8,24.913183513784006,24.5,15.2,17.7,36
NE,2015,9,26.59427682528314,26.1,16.7,19,37.6
NE,2015,10,27.390948609795988,26.8,18,20.1,38.2
NE,2015,11,28.14327194917791,27.5,19.1,21.2,38.2
NE,2015,12,28.112865379682603,27.6,19.4,21.4,37.9
NE,2016,1,26.26836043517595,25.8,19.7,21.5,35.4
NE,2016,2,26.705755010581353,26.4,19.1,21,34.8
NE,2016,3,27.218592457933358,26.9,19.8,21.7,35.4
NE,2016,4,26.742206645010544,26.4,18.8,21,35.2
NE,2016,5,26.107231175175002,25.7,17.6,20,35.4
NE,2016,6,25.33509744977759,24.9,16.1,18.8,35.1
NE,2016,7,24.726862266249327,24.5,15.1,17.7,35.1
NE,2016,8,25.565127899514074,25.2,15.7,18.1,36.6
NE,2016,9,26.488119075578368,26.1,16.7,19,37.2
NE,2016,10,27.371051786208806,26.8,18.5,20.6,37.7
NE,2016,11,27.46320389904583,26.9,18.8,20.8,37.7
NE,2016,12,27.276148772484333,26.8,19.3,21.3,36.7
NE,2017,1,27.293546785802928,26.9,19.3,21.3,36.1
NE,2017,2,26.529599520473532,26.1,19.5,21.3,35.1
